roll_no,subject,status,date,time
101,DBMS,present,2026-03-01,09:59:16 PM
102,DBMS,present,2026-03-01,10:00:03 PM
102,DBMS,present,2026-03-01,10:00:48 PM
103,DBMS,present,2026-03-01,10:57:13 PM
105,DBMS,absent,2026-03-01,10:00:50 PM
104,PYTHON,present,2026-03-01,10:01:32 PM
101,PYTHON,absent,2026-03-01,10:01:35 PM
102,PYTHON,absent,2026-03-01,10:01:35 PM
103,PYTHON,absent,2026-03-01,10:01:35 PM
105,PYTHON,absent,2026-03-01,10:01:35 PM
104,DBMS,present,2026-03-01,10:21:05 PM
103,DSA,present,2026-03-01,10:37:40 PM
101,DSA,absent,2026-03-01,10:37:42 PM
102,DSA,absent,2026-03-01,10:37:42 PM
105,DSA,absent,2026-03-01,10:37:42 PM
101,PYTHON,present,2026-03-14,01:12:58 AM
101,DBMS,present,2026-03-14,01:13:55 AM
101,C++,present,2026-03-14,01:19:48 AM
102,C++,absent,2026-03-14,01:19:50 AM
103,C++,absent,2026-03-14,01:19:50 AM
105,C++,absent,2026-03-14,01:19:50 AM
101,JAVA,present,2026-03-14,10:28:22 PM
102,JAVA,absent,2026-03-14,10:28:25 PM
103,JAVA,absent,2026-03-14,10:28:25 PM
105,JAVA,absent,2026-03-14,10:28:25 PM
101,DBMS,present,2026-03-16,01:17:02 PM
102,DBMS,absent,2026-03-16,01:17:04 PM
103,DBMS,absent,2026-03-16,01:17:04 PM
105,DBMS,absent,2026-03-16,01:17:04 PM
101,DBMS,present,2026-03-31,06:43:50 PM
101,JAVA,present,2026-03-31,06:45:16 PM
102,JAVA,absent,2026-03-31,06:45:19 PM
103,JAVA,absent,2026-03-31,06:45:19 PM
105,JAVA,absent,2026-03-31,06:45:19 PM
102,DBMS,present,2026-03-31,06:47:06 PM
102,C++,Present,2026-04-01,04:17:26 PM
101,C++,Absent,2026-04-01,04:17:29 PM
103,C++,Absent,2026-04-01,04:17:29 PM
105,C++,Absent,2026-04-01,04:17:29 PM
